Domain_Change,Experience,Languages,total_skills,Story_telling_project,total_projects,Education_Qualifications,Certifications,Shortlisting
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Bachelors,Good_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,Masters,Good_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,PHDs,Good_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,Masters,No_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Bachelors,No_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,PHDs,Learning_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Bachelors,Learning_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,PHDs,No_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Masters,Learning_Certification,0
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Bachelors,Good_Certification,1
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Masters,Learning_Certification,1
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,PHDs,No_Certification,0
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Masters,Good_Certification,1
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,PHDs,Learning_Certification,1
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Masters,No_Certification,0
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Bachelors,Learning_Certification,1
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,PHDs,Good_Certification,1
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Bachelors,No_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Bachelors,Good_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,Masters,Learning_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,PHDs,No_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,Masters,Good_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,PHDs,Learning_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,Masters,No_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Bachelors,Learning_Certification,0
Yes,Entry_Level,Python,4,No_Story_Telling_Projects,4,PHDs,Good_Certification,0
No,Entry_Level,Python,4,No_Story_Telling_Projects,4,Bachelors,No_Certification,0
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Bachelors,Good_Certification,1
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Masters,Learning_Certification,1
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,PHDs,No_Certification,0
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Masters,Good_Certification,1
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,PHDs,Learning_Certification,1
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Masters,No_Certification,0
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Bachelors,Learning_Certification,1
No,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,PHDs,Good_Certification,1
Yes,Entry_Level,Python,4,Two_Or_More_Story_Telling_Projects,4,Bachelors,No_Certification,0
No,Entry_Level,Python,3,No_Story_Telling_Projects,3,Bachelors,Good_Certification,0
Yes,Entry_Level,Python,3,No_Story_Telling_Projects,3,Masters,Learning_Certification,0
No,Entry_Level,Python,3,No_Story_Telling_Projects,3,PHDs,No_Certification,0
Yes,Entry_Level,Python,3,No_Story_Telling_Projects,3,Masters,Good_Certification,0
No,Entry_Level,Python,3,No_Story_Telling_Projects,3,PHDs,Learning_Certification,0
Yes,Entry_Level,Python,3,No_Story_Telling_Projects,3,Masters,No_Certification,0
No,Entry_Level,Python,3,No_Story_Telling_Projects,3,Bachelors,Learning_Certification,0
Yes,Entry_Level,Python,3,No_Story_Telling_Projects,3,PHDs,Good_Certification,0
No,Entry_Level,Python,3,No_Story_Telling_Projects,3,Bachelors,No_Certification,0
Yes,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Bachelors,Good_Certification,1
No,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Masters,Learning_Certification,1
Yes,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,PHDs,No_Certification,0
No,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Masters,Good_Certification,1
Yes,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,PHDs,Learning_Certification,1
No,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Masters,No_Certification,0
Yes,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Bachelors,Learning_Certification,1
No,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,PHDs,Good_Certification,1
Yes,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Bachelors,No_Certification,0
No,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Bachelors,Good_Certification,1
Yes,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,Masters,Learning_Certification,1
No,Entry_Level,Python,3,Two_Or_More_Story_Telling_Projects,3,PHDs,No_Certification,0
